"","sample.name","file","Sequencing_facility","Sample_type","LibraryKit","Sequencing_platform","Sequencing_lane","Origin","Technical_dup","Target_species","Init_read_count","Init_q30_perc","Quality_trimmed_read_count","MIN_NREADS_10M_filter","Duplicate_removed_reads_count","Mapped_reads_count","Mapping_Perc","MIN_MAPPERC_80_NMAP_10M_filter","Primary_Mapped_reads_count","Properly_Paired_reads_count"
"1","GBR-695","/tgt_bck2/data_lecellier/230404-A00199A_L001/GBR-695_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","Others",FALSE,"Ahya",44210898,91.69,NA,"PASS",35116717,25533127,97.9523221275355,"PASS","32023284","28393608"
"2","GBR-696","/tgt_bck2/data_lecellier/230404-A00199A_L001/GBR-696_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","Others",FALSE,"Ahya",38420160,91.38,NA,"PASS",30721416,28610831,96.2495327693564,"PASS","27902244","24989062"
"3","GBR-697","/tgt_bck2/data_lecellier/230404-A00199A_L001/GBR-697_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","Others",FALSE,"Ahya",39028706,91.52,NA,"PASS",30871484,29393468,96.3448538218828,"PASS","27925213","24678424"
"4","GBR-698","/tgt_bck2/data_lecellier/230404-A00199A_L001/GBR-698_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","Others",FALSE,"Ahya",40321664,90.77,NA,"PASS",31391623,29425978,95.3176659729089,"PASS","27927696","24306608"
"5","GBR-699","/tgt_bck2/data_lecellier/230404-A00199A_L001/GBR-699_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","Others",FALSE,"Ahya",37164756,91.4,NA,"PASS",29725683,29099752,94.7213891443025,"PASS","25701667","22728416"
"6","GBR-700","/tgt_bck2/data_lecellier/230404-A00199A_L001/GBR-700_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","Others",FALSE,"Ahya",48541962,90.73,NA,"PASS",40747921,28990701,92.3517111555526,"PASS","23697370","22420312"
"7","GBR-702","/tgt_bck2/data_lecellier/230404-A00199A_L001/GBR-702_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","Others",FALSE,"Ahya",33780150,91.22,NA,"PASS",26066893,34124863,97.1755503226569,"PASS","24002445","21330810"
"8","RRAP-ECO03-2022-Ahya-OCDA-76B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Ahya-OCDA-76B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Ahya",51280906,90.52,NA,"PASS",40578962,34976850,96.7019401571755,"PASS","37082004","32828160"
"9","RRAP-ECO03-2022-Ahya-OCDA-90B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Ahya-OCDA-90B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Ahya",45118758,91.59,NA,"PASS",36169750,39626331,97.247491473246,"PASS","32689732","28182968"
"10","RRAP-ECO03-2022-Amil-OCCH-131B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCCH-131B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",38171382,91.63,NA,"PASS",30508602,38262888,94.292426701304,"PASS","27465632","24332300"
"11","RRAP-ECO03-2022-Amil-OCCH-134B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCCH-134B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",45328220,91.45,NA,"PASS",35220048,22217852,94.0000825859139,"PASS","32168381","28256522"
"12","RRAP-ECO03-2022-Amil-OCCH-138B","/tgt_bck2/data_lecellier/230404-A00199A_L001/RRAP-ECO03-2022-Amil-OCCH-138B_L1_1.fq.gz","CSIRO","gDNA","Lotus DNA kit","NovaseqX","L1","ECO03",FALSE,"Amil",43059206,91.47,NA,"PASS",34368662,27611884,97.400126706767,"PASS","31216144","27652440"
